business_name,business_url,business_rating,business_review,business_phone_number,business_address,business_website_url,business_location
Milky's,https://www.yelp.com/adredir?ad_business_id=X-UimDycyh6GjJZbLHPOlw&campaign_id=Zp4eDJwmxE2rUPG8K91Mrw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmilky-s-toronto&request_id=80e1c410cca49874&signature=afdad04c13c87d908455e7c9bd1b2eff0798a7ec20446f914aeacbde49530a6f&slot=0,5 star rating,13,milkys.ca,(647) 408-2442,https://www.yelp.com/biz_redir?cachebuster=1628085518&s=df7f206fce535b1560cc4a1ced56a8ffd9ca399798c1c7b8ca1b127c8c7ba531&src_bizid=X-UimDycyh6GjJZbLHPOlw&url=http%3A%2F%2Fmilkys.ca&website_link_type=cta,"“Once you see all the diligent details executed at Milky's, you'll realize why the shop stands out almost instantly.” in 2 reviews"
Nordstrom Ebar Artisan Coffee,https://www.yelp.com/adredir?ad_business_id=LPfb8Cm6Ecjf_9jqA4uKnw&campaign_id=MRRs6j-1eIOGwZ3Q9xNrJg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnordstrom-ebar-artisan-coffee-toronto-6&request_id=80e1c410cca49874&signature=b7d10b2451e9018198602ab4b4a5a30e19e612fad129ea8cfc1e77d38222b1ac&slot=1,3 star rating,15,restaurants.nordstrom.com,(416) 552-2925,https://www.yelp.com/biz_redir?cachebuster=1628085530&s=5c66e688bdfc6e0de091cf3d2983ac68e4eb52c30e189a2d1f1c9587a39378b9&src_bizid=LPfb8Cm6Ecjf_9jqA4uKnw&url=https%3A%2F%2Fshop.nordstrom.com%2Fc%2Fnordstrom-restaurants%3Fcm_mmc%3Dyelp-_-ycm-_-rest-_-fm&website_link_type=cta,Freshly Brewed Coffee Served In A Variety Of Delicious Flavors.read more
Fahrenheit Coffee,https://www.yelp.com/biz/fahrenheit-coffee-toronto?osq=Coffee+Shop,4.5 star rating,316,Canada,(647) 896-1774,,
Sorry Coffee,https://www.yelp.com/biz/sorry-coffee-toronto?osq=Coffee+Shop,4 star rating,125,Canada,"102 Bloor Street W Toronto, ON M5S 1M8 Canada",,
Himalayan Coffee House,https://www.yelp.com/biz/himalayan-coffee-house-toronto-2?osq=Coffee+Shop,4.5 star rating,135,Canada,"2552 Yonge Street Toronto, ON M4P 2J2 Canada",,
Bulldog Coffee,https://www.yelp.com/biz/bulldog-coffee-toronto-3?osq=Coffee+Shop,4.5 star rating,48,Canada,"89 Granby Street Toronto, ON M5B 1H9 Canada",,
Versus Coffee,https://www.yelp.com/biz/versus-coffee-toronto?osq=Coffee+Shop,4.5 star rating,96,,(647) 987-5470,,in Coffee & Tea
Fahrenheit Coffee,https://www.yelp.com/biz/fahrenheit-coffee-toronto-2?osq=Coffee+Shop,5 star rating,34,Canada,(647) 896-1774,,
White Rabbit Caffe,https://www.yelp.com/biz/white-rabbit-caffe-toronto-2?osq=Coffee+Shop,4.5 star rating,7,,(416) 820-3611,,"in Juice Bars & Smoothies, Coffee & Tea"
Milky's,https://www.yelp.com/biz/milky-s-toronto?osq=Coffee+Shop,5 star rating,13,milkys.ca,(647) 408-2442,https://www.yelp.com/biz_redir?cachebuster=1628085626&s=855192e56eaffbfb609f04aa65ba6e9c15d1e9e132e2a1c2e5f6bb9b1177c2b5&src_bizid=X-UimDycyh6GjJZbLHPOlw&url=http%3A%2F%2Fmilkys.ca&website_link_type=cta,"“Once you see all the diligent details executed at Milky's, you'll realize why the shop stands out almost instantly.” in 2 reviews"
Coffee Lunar,https://www.yelp.com/biz/coffee-lunar-toronto?osq=Coffee+Shop,5 star rating,10,Send to your Phone,"920 Yonge Street Toronto, ON M4W 3C7 Canada",,"""The cake was PERFECT! I showed a picture of how I would like the design to look…""read more"
Piedmont Coffee Bar,https://www.yelp.com/biz/piedmont-coffee-bar-toronto-2?osq=Coffee+Shop,4.5 star rating,66,"Toronto, ON M4Y 1N3","66 Isabella Street Unit 4 Toronto, ON M4Y 1N3 Canada",https://biz.yelp.com/signup/9AEmY0f_QMmueXQoKsQfKw/account?utm_campaign=claim_business&utm_medium=www&utm_source=biz_page_unclaimed&utm_content=claim_right_column_below_fold_react&hl=en_US,
Buda's Coffee Bar,https://www.yelp.com/adredir?ad_business_id=0RfCBDhIBRYEIhh2yYpoXQ&campaign_id=njlGuIAyOG_Ee4lXaj5Jqg&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuds-coffee-bar-toronto&request_id=80e1c410cca49874&signature=5f0ed579ea26141752a0136d4e16f5f1a2a7a4095e94d6fc357cbc29ff73f653&slot=0,4.5 star rating,44,(416) 894-1956,"1966 Queen Street E Toronto, ON M4L 1H7 Canada",https://www.yelp.com/biz_redir?cachebuster=1628085662&s=104835ff238700885c30e89bee72de8612167aa0e13b453751cd7260fe55a896&src_bizid=0RfCBDhIBRYEIhh2yYpoXQ&url=http%3A%2F%2Finstagram.com%2Fbudscoffeebar&website_link_type=cta,The Beach
